id,name,country,region,latitude,longitude,elevation,timezone,distance
26063,St. Peterburg,RU,LEN,59.9667,30.3,4,Europe/Moscow,3020.7
22907,Toksovo,RU,LEN,60.15,30.5167,115,Europe/Moscow,26018.7
26072,Petrokrepost,RU,LEN,59.9333,31.0,11,Europe/Moscow,38442.7
