sector_deg,pfav_station,pfav_era5,diff_era5_minus_station
0,0.22539588260874177,0.3296882789049988,0.10429239629625703
20,0.2515087555550842,0.3618998122673229,0.1103910567122387
40,0.28701886872500876,0.3818609929679794,0.09484212424297062
60,0.31282415705906685,0.38111854735212075,0.0682943902930539
80,0.3150408875407019,0.36593023132484115,0.05088934378413923
100,0.2855976156889365,0.3338141552559846,0.04821653956704813
120,0.24589798797238102,0.2840490862615742,0.03815109828919319
140,0.20477710721975328,0.24137967608158417,0.036602568861830886
160,0.1632743972932554,0.19651474815184072,0.033240350858585316
180,0.13349172173138318,0.1621395161375858,0.028647794406202604
200,0.10629699945907534,0.13802063998812086,0.03172364052904553
220,0.09921194701059576,0.12599302101121093,0.026781074000615177
240,0.11793218289617428,0.12276868576519627,0.004836502869021986
260,0.14493599058154705,0.12886734618117796,-0.016068644400369092
280,0.16261680260492348,0.15205286212784913,-0.010563940477074346
300,0.18251434510993497,0.1862053604573465,0.003691015347411536
320,0.19722537466987686,0.22878991970980983,0.03156454503993297
340,0.2079059851723004,0.28373089528334905,0.07582491011104864
